Country,Total Navy,Self Propelled guns,Man Power,Submarines,Total fighters,Destroyers,Tanks,Helicopter,Aircraft,Reserve Man power,Population
El Salvador,4,0,"15,500",0,0,0,0,30,49,"9,900","6,141,350"
Chile,69,48,"60,550",4,44,0,277,84,243,"82,000","17,508,260"
Belgium,17,0,"35,000",0,49,0,0,36,171,"6,500","11,323,973"
Thailand,81,26,"310,000",0,76,0,722,282,551,"245,000","67,976,405"
Iraq,60,103,"272,000",0,0,0,297,159,260,"528,500","37,056,169"
Georgia,9,118,"40,000",0,0,0,200,41,67,"140,000","4,931,226"
Denmark,90,12,"25,000",0,35,0,57,32,74,"63,000","5,581,503"
Philippines,119,0,"220,000",0,0,0,45,91,135,"430,000","100,998,376"
Morocco,121,448,"200,000",0,50,0,"1,215",128,282,"150,000","33,322,699"
Croatia,28,21,"21,500",0,12,0,72,31,68,"102,700","4,464,844"
Switzerland,0,224,"140,000",0,63,0,224,43,185,"77,000","8,121,830"
Chad,0,10,"30,500",0,1,0,60,19,37,0,"11,631,456"
Estonia,6,0,"3,500",0,0,0,0,0,6,"60,000","1,265,420"
Uruguay,20,6,"25,000",0,0,0,79,11,47,"1,000","3,341,893"
Lebanon,57,12,"132,000",0,0,0,295,48,62,"280,700","6,184,701"
Uzbekistan,0,143,"65,000",0,69,0,420,69,166,"20,000","29,199,942"
Tunisia,50,19,"40,500",0,12,0,180,76,141,"12,000","11,037,225"
Colombia,234,0,"445,000",11,19,0,0,241,447,"62,000","46,736,728"
Taiwan,87,482,"300,000",4,287,4,"2,005",307,815,"1,675,000","23,415,126"
Nicaragua,30,0,"14,000",0,0,0,84,17,21,0,"5,907,881"
Qatar,80,24,"12,000",0,9,0,92,45,86,0,"2,194,817"
Italy,143,164,"320,000",6,111,4,586,421,785,"42,000","61,855,120"
Sudan,18,16,"110,000",0,46,0,330,64,178,"102,500","36,108,853"
Nepal,0,0,"95,000",0,0,0,0,18,22,"62,000","31,551,305"
Democratic Republic of the Congo,20,0,"155,000",0,2,0,250,27,42,"1,500","79,375,136"
Venezuela,50,57,"115,000",2,33,0,192,86,277,"438,000","29,275,460"
Israel,65,650,"160,000",6,243,0,"4,170",143,681,"630,000","8,049,314"
Zambia,0,0,"15,100",0,18,0,25,16,70,"4,500","15,066,266"
Zimbabwe,0,0,"30,000",0,10,0,72,29,93,"21,800","14,229,541"
Jordan,37,461,"110,700",0,68,0,"1,250",126,270,"65,000","8,117,564"
Kazakhstan,15,285,"110,000",0,103,0,300,69,244,"378,000","18,157,122"
Poland,83,443,"120,000",5,99,0,"1,009",210,461,"515,000","38,562,189"
Kyrgyzstan,0,30,"16,500",0,0,0,150,6,6,"10,000","5,664,939"
North Korea,967,"2,250","700,000",70,458,0,"4,200",202,944,"4,500,000","24,983,205"
Paraguay,40,0,"10,700",0,0,0,9,13,35,"165,000","6,783,272"
Latvia,18,0,"13,000",0,0,0,0,4,4,"11,000","1,986,705"
South Sudan,0,24,"210,000",0,0,0,110,9,9,0,"12,042,910"
Hungary,0,0,"20,000",0,11,0,32,14,30,"52,000","9,897,541"
Syria,56,436,"180,000",0,165,0,"4,500",168,461,"570,000","17,064,854"
Honduras,59,0,"12,000",0,3,0,19,9,34,"60,000","8,746,673"
Myanmar,155,108,"406,000",0,56,0,569,87,246,0,"56,320,206"
Mexico,143,12,"270,000",0,6,2,0,189,400,"76,500","121,736,809"
Egypt,319,889,"470,000",8,336,0,"4,624",255,"1,133","800,000","88,487,396"
Cuba,12,100,"90,000",0,39,0,50,14,80,0,"11,031,433"
Serbia,19,72,"52,000",0,24,0,225,37,123,"170,000","7,176,794"
United Kingdom,76,89,"150,000",10,91,6,407,348,879,"182,000","64,088,222"
Greece,115,547,"180,000",11,206,0,"1,556",224,601,"280,000","10,775,643"
Sri Lanka,40,0,"162,000",0,23,0,102,45,91,"98,200","22,053,488"
Namibia,8,0,"9,500",0,6,0,10,9,32,0,"2,212,307"
